"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
598035,"2013","Raipur","2013-04-28","League","DA Warner","Shaheed Veer Narayan Singh International Stadium","Delhi Daredevils","Pune Warriors","Pune Warriors","field","Delhi Daredevils","runs",15,165,20,"N",NA,"CK Nandan","S Ravi"
598040,"2013","Raipur","2013-05-01","League","DA Warner","Shaheed Veer Narayan Singh International Stadium","Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders","bat","Delhi Daredevils","wickets",7,137,20,"N",NA,"HDPK Dharmasena","CK Nandan"
829793,"2015","Raipur","2015-05-09","League","MC Henriques","Shaheed Veer Narayan Singh International Stadium","Delhi Daredevils","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","runs",6,164,20,"N",NA,"VA Kulkarni","S Ravi"
829801,"2015","Raipur","2015-05-12","League","Z Khan","Shaheed Veer Narayan Singh International Stadium","Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","bat","Delhi Daredevils","wickets",6,120,20,"N",NA,"RK Illingworth","VA Kulkarni"
981003,"2016","Raipur","2016-05-20","League","KK Nair","Shaheed Veer Narayan Singh International Stadium","Delhi Daredevils","Sunrisers Hyderabad","Delhi Daredevils","field","Delhi Daredevils","wickets",6,159,20,"N",NA,"A Nand Kishore","BNJ Oxenford"
981011,"2016","Raipur","2016-05-22","League","V Kohli","Shaheed Veer Narayan Singh International Stadium","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",6,139,20,"N",NA,"A Nand Kishore","BNJ Oxenford"
