"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
419141,"2009/10","Nagpur","2010-04-05","League","SK Warne","Vidarbha Cricket Association Stadium, Jamtha","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","bat","Rajasthan Royals","runs",2,160,20,"N",NA,"HDPK Dharmasena","SJA Taufel"
419147,"2009/10","Nagpur","2010-04-10","League","RJ Harris","Vidarbha Cricket Association Stadium, Jamtha","Deccan Chargers","Chennai Super Kings","Chennai Super Kings","bat","Deccan Chargers","wickets",6,139,20,"N",NA,"HDPK Dharmasena","SJA Taufel"
419151,"2009/10","Nagpur","2010-04-12","League","Harmeet Singh","Vidarbha Cricket Association Stadium, Jamtha","Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Deccan Chargers","runs",13,152,20,"N",NA,"RE Koertzen","RB Tiffin"
