"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
501200,"2011","Kochi","2011-04-09","League","AB de Villiers","Nehru Stadium","Kochi Tuskers Kerala","Royal Challengers Bangalore","Kochi Tuskers Kerala","bat","Royal Challengers Bangalore","wickets",6,162,20,"N",NA,"HDPK Dharmasena","K Hariharan"
501215,"2011","Kochi","2011-04-18","League","BB McCullum","Nehru Stadium","Kochi Tuskers Kerala","Chennai Super Kings","Kochi Tuskers Kerala","field","Kochi Tuskers Kerala","wickets",7,135,17,"N","D/L","K Hariharan","AL Hill"
501229,"2011","Kochi","2011-04-27","League","I Sharma","Nehru Stadium","Kochi Tuskers Kerala","Deccan Chargers","Kochi Tuskers Kerala","field","Deccan Chargers","runs",55,130,20,"N",NA,"HDPK Dharmasena","AL Hill"
501233,"2011","Kochi","2011-04-30","League","V Sehwag","Nehru Stadium","Kochi Tuskers Kerala","Delhi Daredevils","Delhi Daredevils","bat","Delhi Daredevils","runs",38,158,20,"N",NA,"HDPK Dharmasena","AL Hill"
501242,"2011","Kochi","2011-05-05","League","BJ Hodge","Nehru Stadium","Kochi Tuskers Kerala","Kolkata Knight Riders","Kolkata Knight Riders","field","Kochi Tuskers Kerala","runs",17,157,20,"N",NA,"S Ravi","RJ Tucker"
