"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
501254,"2011","Indore","2011-05-13","League","KD Karthik","Holkar Cricket Stadium","Kochi Tuskers Kerala","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","wickets",6,179,20,"N",NA,"S Asnani","RJ Tucker"
501258,"2011","Indore","2011-05-15","League","BJ Hodge","Holkar Cricket Stadium","Kochi Tuskers Kerala","Rajasthan Royals","Kochi Tuskers Kerala","field","Kochi Tuskers Kerala","wickets",8,98,20,"N",NA,"PR Reiffel","RJ Tucker"
1082594,"2017","Indore","2017-04-08","League","GJ Maxwell","Holkar Cricket Stadium","Kings XI Punjab","Rising Pune Supergiant","Kings XI Punjab","field","Kings XI Punjab","wickets",6,164,20,"N",NA,"AK Chaudhary","C Shamshuddin"
1082598,"2017","Indore","2017-04-10","League","AR Patel","Holkar Cricket Stadium","Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","bat","Kings XI Punjab","wickets",8,149,20,"N",NA,"AK Chaudhary","C Shamshuddin"
1082612,"2017","Indore","2017-04-20","League","JC Buttler","Holkar Cricket Stadium","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","Mumbai Indians","wickets",8,199,20,"N",NA,"M Erasmus","C Shamshuddin"
1136594,"2018","Indore","2018-05-04","League","SA Yadav","Holkar Cricket Stadium","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","Mumbai Indians","wickets",6,175,20,"N",NA,"AY Dandekar","S Ravi"
1136598,"2018","Indore","2018-05-06","League","Mujeeb Ur Rahman","Holkar Cricket Stadium","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","wickets",6,153,20,"N",NA,"C Shamshuddin","S Ravi"
1136604,"2018","Indore","2018-05-12","League","SP Narine","Holkar Cricket Stadium","Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab","field","Kolkata Knight Riders","runs",31,246,20,"N",NA,"CK Nandan","VK Sharma"
1136608,"2018","Indore","2018-05-14","League","UT Yadav","Holkar Cricket Stadium","Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",10,89,20,"N",NA,"BNJ Oxenford","VK Sharma"
